     Knots	      s_fixed	     s_moving	   a_fixed	a_moving	s_moving_plus_a_fixed_2	s_moving_plus_a_moving_2	s_fixed_plus_a_fixed_2	s_fixed_plus_a_moving_2	s_moving_plus_a_fixed_4	s_moving_plus_a_moving_4	s_fixed_plus_a_fixed_4	s_fixed_plus_a_moving_4	s_moving_plus_a_fixed_8	s_moving_plus_a_moving_8	s_fixed_plus_a_fixed_8	s_fixed_plus_a_moving_8
2	-1388.398	-1317.56	-1299.74	-1273.74	-1282.69	-1273.13	-1294.52	-1279.38	-1258.06	-1261.124	-1274.55	-1264.737	-1245.991	-1245.841	-1249.21	-1250.845
4	-1387.885	-1283.74	-1276.49	-1264.47	-1271.82	-1270	-1301.25	-1281.37	-1261.09	-1256.27	-1271.54	-1258.283	-1244.783	-1244.477	-1248.26	-1247.588
8	-1360.06	-1262.44	-1250.68	-1251.434	-1257.14	-1258.08	-1285.6	-1269.78	-1252.51	-1246.84	-1264.54	-1258.83	-1236.441	-1238.392	-1246.73	-1243.439
12	-1284.71	-1252.885	-1248.33	-1251.79	-1249.81	-1248.24	-1273.27	-1267.244	-1244.37	-1242.16	-1265.78	-1254.596	-1234.424	-1232.787	-1243.35	-1241.34
16	-1282.3	-1253.99	-1244.66	-1243.61	-1245.34	-1244.91	-1265.01	-1263.33	-1237.85	-1237.25	-1251.19	-1246.586	-1231.862	-1233.266	-1241.37	-1239.74
20	-1273.02	-1241.27	-1240.1	-1242.15	-1238.32	-1238.95	-1258.44	-1259.28	-1235.71	-1230.96	-1244.84	-1248.65	-1227.589	-1227.293	-1239.11	-1237.531
24	-1257.3	-1237.4	-1241.3	-1244.64	-1237.38	-1234.76	-1256.93	-1248.49	-1233.7	-1230.29	-1251.02	-1241.116	-1228.039	-1226.308	-1237.19	-1233.401
28	-1252.84	-1237.39	-1240.23	-1242.66	-1233.46	-1232.47	-1250.22	-1248.126	-1231.98	-1229.11	-1238.49	-1237.465	-1223.333	-1225.521	-1230.23	-1229.492
32	-1250.61	-1235.59	-1241.62	-1241.6	-1230.77	-1230.7	-1240.87	-1242.082	-1230.74	-1228.85	-1234.49	-1232.207	-1222.327	-1224.854	-1226.15	-1229.831
36	-1241.47	-1234.98	-1243.19	-1241.9	-1229.36	-1228.73	-1240.16	-1237.675	-1225.16	-1226.71	-1236.12	-1230.76	-1228.111	-1225.128	-1222.04	-1223.864
40	-1236.14	-1230.22	-1241.84	-1241.06	-1226	-1227.58	-1236.66	-1235.226	-1226.62	-1224.81	-1231.03	-1231.332	-1221.159	-1220.216	-1222.53	-1225.569

